GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
EDGEWATER,121,18,103,0.005284535091933441,7.861291872297681e-4,0.004498405904703673,5267.5,0.0010032339994178342,1.492414214010001e-4,8.539925780168339e-4
EL,637,NA,637,0.027820238459186793,NA,0.027820238459186793,-6,NA,NA,NA
ELBERT,155,31,124,0.006769445778923003,0.0013538891557846005,0.005415556623138402,20993,3.2246204825051223e-4,6.449240965010245e-5,2.579696386004098e-4
ELIZABETH,45,8,37,0.0019653229680744204,3.4939074987989693e-4,0.0016159322181945233,1373.5,0.0014308867623403132,2.543798688605001e-4,0.001176506893479813
EMPIRE,5,1,4,2.1836921867493558e-4,4.367384373498712e-5,1.7469537493994847e-4,279,7.826853715947511e-4,1.5653707431895024e-4,6.26148297275801e-4
ENGLEWOOD,10857,1284,9573,0.4741669214307551,0.05607721535572346,0.41808970607503165,31351.75,0.015124097424569764,0.0017886470565669685,0.013335450368002795
ERIE,1156,221,935,0.050486963357645104,0.009651919465432153,0.04083504389221295,8700.4,0.005802832439617156,0.0011093650252209269,0.004693467414396229
ESTES,2,NA,2,8.734768746997423e-5,NA,8.734768746997423e-5,-6,NA,NA,NA
EVANS,1244,217,1027,0.054330261606323975,0.009477224090492203,0.04485303751583177,19804.333333333332,0.0027433522094318066,4.7854294971599843e-4,0.0022648092597158083
FAIRPLAY,53,24,29,0.002314713717954317,0.0010481722496396909,0.0012665414683146264,673.6666666666666,0.003435992654063806,0.001555921201840214,0.001880071452223592
FEDERAL,3865,NA,3865,0.1687994060357252,NA,0.1687994060357252,-6,NA,NA,NA
FIRESTONE,5,NA,5,2.1836921867493558e-4,NA,2.1836921867493558e-4,11025,1.9806731852601866e-5,NA,1.9806731852601866e-5
FLORENCE,4,1,3,1.7469537493994847e-4,4.367384373498712e-5,1.3102153120496136e-4,3533,4.9446752035083066e-5,1.2361688008770766e-5,3.70850640263123e-5
FORT,3604,NA,3604,0.15740053282089356,NA,0.15740053282089356,-3.6666666666666665,NA,NA,NA
FOUNTAIN,2803,463,2340,0.12241778398916889,0.020220989649299036,0.10219679433986985,27190.333333333332,0.004502253888851512,7.436830362248484e-4,0.0037585708526266634
FOWLER,21,9,12,9.171507184347294e-4,3.9306459361488407e-4,5.240861248198454e-4,1184,7.746205392185215e-4,3.319802310936521e-4,4.4264030812486943e-4
FREDERICK,25,4,21,0.0010918460933746778,1.7469537493994847e-4,9.171507184347294e-4,9168,1.1909316027210709e-4,1.9054905643537137e-5,1.0003825462856996e-4
FRISCO,467,89,378,0.020395685024238983,0.0038869720924138533,0.01650871293182513,2755.4,0.007402077747056319,0.0014106743457987419,0.005991403401257578
FRUITA,1400,256,1144,0.06114338122898196,0.011180503996156702,0.04996287723282526,12796.75,0.004778039832690485,8.73698712263403e-4,0.003904341120427082
GARDEN,249,NA,249,0.010874787090011792,NA,0.010874787090011792,-6,NA,NA,NA
GARFIELD,1075,274,801,0.04694938201511115,0.01196663318338647,0.03498274883172468,23132.25,0.0020296072373033815,5.173138446708154e-4,0.0015122933926325665
GEORGETOWN,6,2,4,2.620430624099227e-4,8.734768746997423e-5,1.7469537493994847e-4,1039,2.5220698980743284e-4,8.406899660247761e-5,1.6813799320495522e-4
GILPIN,3,NA,3,1.3102153120496136e-4,NA,1.3102153120496136e-4,4798.5,2.7304685048444588e-5,NA,2.7304685048444588e-5
GLENDALE,3149,475,2674,0.13752893392147442,0.020745075774118882,0.11678385814735555,4520,0.030426755292361597,0.0045896185340970974,0.025837136758264503
GLENWOOD,2693,NA,2693,0.1176136611783203,NA,0.1176136611783203,-6,NA,NA,NA
GOLDEN,3674,430,3244,0.16045770188234265,0.01877975280604446,0.14167794907629822,18922,0.008479954649738011,9.9248244403575e-4,0.007487472205702263
GRANBY,1,1,NA,4.367384373498712e-5,4.367384373498712e-5,NA,1852,2.358198905776842e-5,2.358198905776842e-5,NA
GRAND,20567,3,20564,0.89823994409748,1.3102153120496136e-4,0.8981089225662751,3004.3333333333335,0.2989814526009586,4.361085028457606e-5,0.29893784175067406
GREELEY,13457,2579,10878,0.5877189151417216,0.11263484299253178,0.47508407214918985,96075,0.006117292897649978,0.0011723637053607263,0.004944929192289251
GREENWOOD,3296,NA,3296,0.14394898895051753,NA,0.14394898895051753,-6,NA,NA,NA
GUNNISON,285,67,218,0.012447045464471328,0.002926147530244137,0.00952089793422719,6807,0.001828565515567993,4.2987329664230013e-4,0.0013986922189256929
GYPSUM,131,29,102,0.005721273529283312,0.0012665414683146264,0.004454732060968686,6718,8.516334518135326e-4,1.8852954276788128e-4,6.631039090456514e-4
HAYDEN,22,1,21,9.608245621697166e-4,4.367384373498712e-5,9.171507184347294e-4,1798.3333333333333,5.342861328098517e-4,2.428573330953871e-5,5.10000399500313e-4
HINSDALE,68,11,57,0.002969821373979124,4.804122810848583e-4,0.0024894090928942658,825,0.0035997834836110592,5.823179164664949e-4,0.0030174655671445644
HOTCHKISS,114,23,91,0.0049788181857885316,0.0010044984059047037,0.003974319779883827,924.3333333333334,0.00538638822840447,0.0010867274495903754,0.004299660778814094
HUDSON,163,51,112,0.0071188365288029,0.002227366030484343,0.004891470498318557,2410,0.0029538740783414522,9.242182699105158e-4,0.0020296558084309363
HUERFANO,118,52,66,0.0051535135607284795,0.00227103987421933,0.00288247368650915,2901.2,0.0017763386049663864,7.827932835445092e-4,9.935453214218772e-4
JACKSON,32,8,24,0.0013975629995195877,3.4939074987989693e-4,0.0010481722496396909,1370,0.001020118977751524,2.55029744437881e-4,7.65089233313643e-4
JEFFERSON,13444,2348,11096,0.5871511551731667,0.10254618508974975,0.484604970083417,192491.6,0.0030502689736755617,5.327307014422953e-4,0.0025175382722332665
JOHNSTOWN,38,4,34,0.0016596060619295104,1.7469537493994847e-4,0.001484910686989562,10847.333333333334,1.5299668692116437e-4,1.6104914412754145e-5,1.3689177250841023e-4
KEENESBURG,99,29,70,0.004323710529763725,0.0012665414683146264,0.003057169061449098,1178.6666666666667,0.0036683064449352866,0.0010745544131628617,0.002593752031772425
KERSEY,26,10,16,0.001135519937109665,4.3673843734987115e-4,6.987814997597939e-4,1525,7.446032374489606e-4,2.8638586055729253e-4,4.582173768916681e-4
KIOWA,17,9,8,7.42455343494781e-4,3.9306459361488407e-4,3.4939074987989693e-4,1354.3333333333333,5.482072435354032e-4,2.9022736422462523e-4,2.579798793107779e-4
LA,1436,NA,1436,0.0627156396034415,NA,0.0627156396034415,-6,NA,NA,NA
LAFAYETTE,4,NA,4,1.7469537493994847e-4,NA,1.7469537493994847e-4,25677,6.803574208044104e-6,NA,6.803574208044104e-6
LAKE,2,NA,2,8.734768746997423e-5,NA,8.734768746997423e-5,4790,1.823542535907604e-5,NA,1.823542535907604e-5
LAKESIDE,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,8,0.00545923046687339,NA,0.00545923046687339
LAMAR,2057,165,1892,0.0898370965628685,0.007206184216272874,0.08263091234659563,7835.8,0.011464955277427765,9.196488190450079e-4,0.01054530645838276
LAS,48,NA,48,0.0020963444992793817,NA,0.0020963444992793817,10060197.5,2.0838005409728602e-7,NA,2.0838005409728602e-7
LEADVILLE,251,89,162,0.010962134777481767,0.0038869720924138533,0.007075162685067912,2673.3333333333335,0.004100549168634077,0.0014539795856909675,0.0026465695829431092
LIMON,38,13,25,0.0016596060619295104,5.677599685548325e-4,0.0010918460933746778,1834.2,9.048119408622344e-4,3.095409271370802e-4,5.952710137251541e-4
LINCOLN,60,15,45,0.002620430624099227,6.551076560248068e-4,0.0019653229680744204,2847.8,9.201596404590305e-4,2.3003991011475762e-4,6.901197303442729e-4
LITTLETON,8192,1108,7084,0.35777612787701446,0.04839061885836572,0.30938550901864875,41239.25,0.00867562159537369,0.0011734117099211484,0.007502209885452542
LOCHBUIE,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,5293,8.251245746266223e-6,NA,8.251245746266223e-6
LOG,33,NA,33,0.001441236843254575,NA,0.001441236843254575,1,1.441236843254575,NA,1.441236843254575
LOGAN,3,1,2,1.3102153120496136e-4,4.367384373498712e-5,8.734768746997423e-5,7964,1.6451724159337186e-5,5.483908053112396e-6,1.0967816106224792e-5
LONE,2561,NA,2561,0.11184871380530201,NA,0.11184871380530201,-6,NA,NA,NA
